,train_rmspe,valid_rmspe,valid_mae,valid_r2,time_sec
XGBoost (tuned),0.09275944997098425,0.11724247953331184,585.8657836914062,0.9231945872306824,10.88194489479065
LightGBM (tuned),0.15459501785450958,0.11732755819424995,577.375260552248,0.9247694610235558,6.984902381896973
Random Forest,0.13529588357010822,0.14531496262041377,702.1153825408766,0.8894734792354108,70.47780394554138
Linear Regression,0.30339949611222095,0.22230790502132527,949.7224858244099,0.7184370052595683,0.5886824131011963
Baseline (7-day MA),0.40655196246252673,0.3459373805956433,1585.0556966245115,0.497285476318876,0.0
